title,genres,cast,director,overview
Hook,Adventure Fantasy Comedy Family,Dustin Hoffman Robin Williams Julia Roberts,Steven Spielberg,"The boy who wasn't supposed to grow up—Peter Pan—does just that, becoming a soulless corporate lawyer whose workaholism could cost him his wife and kids. During his trip to see Granny Wendy in London, the vengeful Capt. Hook kidnaps Peter's kids and forces Peter to return to Neverland."
Contact,Drama Science Fiction Mystery,Jodie Foster Matthew McConaughey James Woods,Robert Zemeckis,"A radio astronomer receives the first extraterrestrial radio signal ever picked up on Earth. As the world powers scramble to decipher the message and decide upon a course of action, she must make some difficult decisions between her beliefs, the truth, and reality."
Wasteman,Crime Drama Thriller,David Jonsson Tom Blyth Alex Hassell,Cal McMau,"Taylor's hopes for a fresh start post-parole are jeopardised by cellmate Dee's arrival. As Dee takes Taylor under his wing, a vicious attack tests their bond, forcing Taylor to choose between protecting Dee and his own chances at freedom."
The Suicide Squad,Action Comedy Adventure,Margot Robbie Idris Elba John Cena,James Gunn,"Supervillains Harley Quinn, Bloodsport, Peacemaker and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese."
War,Action Crime Thriller,Jet Li Jason Statham John Lone,Philip G. Atwell,"FBI agent Jack Crawford is out for revenge when his partner is killed and all clues point to the mysterious assassin Rogue. But when Rogue turns up years later to take care of some unfinished business, he triggers a violent clash of rival gangs. Will the truth come out before it's too late? And when the dust settles, who will remain standing?"
Stardust,Adventure Fantasy Romance Family,Charlie Cox Claire Danes Michelle Pfeiffer,Matthew Vaughn,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm. His journey takes him into a world beyond his wildest dreams and reveals his true identity."
Cruel Intentions,Drama Romance,Sarah Michelle Gellar Ryan Phillippe Reese Witherspoon,Roger Kumble,"Slaking a thirst for dangerous games, Kathryn challenges her stepbrother, Sebastian, to deflower their headmaster's daughter before the summer ends. If he succeeds, the prize is the chance to bed Kathryn. But if he loses, Kathryn will claim his most prized possession."
Commando,Action Adventure Thriller,Arnold Schwarzenegger Rae Dawn Chong Dan Hedaya,Mark L. Lester,"John Matrix, the former leader of a special commando strike force that always got the toughest jobs done, is forced back into action when his young daughter is kidnapped. To find her, Matrix has to fight his way through an array of punks, killers, one of his former commandos, and a fully equipped private army. With the help of a feisty stewardess and an old friend, Matrix has only a few hours to overcome his greatest challenge: finding his daughter before she's killed."
Alien Resurrection,Science Fiction Horror Action,Sigourney Weaver Winona Ryder Dominique Pinon,Jean-Pierre Jeunet,"Two hundred years after Lt. Ripley died, a group of scientists clone her, hoping to breed the ultimate weapon. But the new Ripley is full of surprises … as are the new aliens. Ripley must team with a band of smugglers to keep the creatures from reaching Earth."
An Affair: My Wife's Friend 2,,Yoon Da-hyeon Yoo Sul-young Kim Hee-jeong,Jo Tae-ho,"Hyunsoo is lodging at the house of his senior worker, Hyejin. Hyejin has a husband Sang-woo, but in fact, it is an affair with Hyun-soo who makes love secretly. Hyeon-ju, a friend who had been lodging at Hyejin's house before Hin Pyeon, also beats his job and comes in with a pack of luggage. In the end, Hyejin, Sangwoo, Hyunsu, and Hyunjoo. Four people's uncomfortable but dizzying cohabitation begins..."
Highlander,Adventure Action Fantasy,Christopher Lambert Roxanne Hart Clancy Brown,Russell Mulcahy,He fought his first battle on the Scottish Highlands in 1536. He will fight his greatest battle on the streets of New York City in 1986. His name is Connor MacLeod. He is immortal.
Man on Fire,Action Drama Thriller,Denzel Washington Dakota Fanning Christopher Walken,Tony Scott,"Jaded ex-CIA operative John Creasy reluctantly accepts a job as the bodyguard for a 10-year-old girl in Mexico City. They clash at first, but eventually bond, and when she's kidnapped he's consumed by fury and will stop at nothing to save her life."
Star Wars: Episode III - Revenge of the Sith,Adventure Action Science Fiction,Hayden Christensen Ewan McGregor Natalie Portman,George Lucas,"When the sinister Sith unveil a thousand-year-old plot to rule the galaxy, the Republic crumbles and from its ashes rises the evil Galactic Empire. Jedi hero Anakin Skywalker must choose a side."
Uncharted,Action Adventure,Tom Holland Mark Wahlberg Sophia Ali,Ruben Fleischer,"A young street-smart, Nathan Drake and his wisecracking partner Victor “Sully” Sullivan embark on a dangerous pursuit of “the greatest treasure never found” while also tracking clues that may lead to Nathan’s long-lost brother."
Ford v Ferrari,Drama Action History,Matt Damon Christian Bale Jon Bernthal,James Mangold,"American car designer Carroll Shelby and the British-born driver Ken Miles work together to battle corporate interference, the laws of physics, and their own personal demons to build a revolutionary race car for Ford Motor Company and take on the dominating race cars of Enzo Ferrari at the 24 Hours of Le Mans in France in 1966."
Robotrix,Action Comedy Crime Romance Science Fiction Thriller,Amy Yip Chi-Mei Chikako Aoyama Hui Hiu-Daan,Jamie Luk Kim-Ming,"When evil inventor Ryuichi Yamamoto transfers his mind into that of a powerful cyborg, he becomes a murderer and rapist. But when one of his victims, Police officer Selina Lam becomes super robot Eve-R27, she teams up with android sidekick Ann and together they seek to bring the criminally insane scientist to justice."
Freakier Friday,Comedy Fantasy Family,Lindsay Lohan Jamie Lee Curtis Julia Butters,Nisha Ganatra,"Years after Tess and Anna endured an identity crisis, Anna now has a daughter of her own and a soon-to-be stepdaughter. As they navigate the myriad challenges that come when two families merge, Tess and Anna discover lightning might indeed strike twice."
Alice Through the Looking Glass,Adventure Family Fantasy,Mia Wasikowska Johnny Depp Anne Hathaway,James Bobin,Alice Kingsleigh returns to Underland and faces a new adventure in saving the Mad Hatter.
Gran Turismo,Adventure Drama Action,Archie Madekwe David Harbour Orlando Bloom,Neill Blomkamp,The ultimate wish-fulfillment tale of a teenage Gran Turismo player whose gaming skills won him a series of Nissan competitions to become an actual professional racecar driver.
Blitz,Crime Action Thriller,Jason Statham Paddy Considine Aidan Gillen,Elliott Lester,A tough cop is dispatched to take down a serial killer who has been targeting police officers.
The Cabin in the Woods,Horror Mystery Comedy,Kristen Connolly Fran Kranz Chris Hemsworth,Drew Goddard,"Five friends set out for a weekend at a remote cabin in the woods, expecting nothing more than fun and relaxation. As night falls, they discover that something far more unsettling is at work and that nothing about their getaway is what it seems."
It Chapter Two,Horror Thriller Drama,Jessica Chastain James McAvoy Bill Hader,Andy Muschietti,"27 years after overcoming the malevolent supernatural entity Pennywise, the former members of the Losers' Club, who have grown up and moved away from Derry, are brought back together by a devastating phone call."
Secretary,Romance Drama Comedy,James Spader Maggie Gyllenhaal Jeremy Davies,Steven Shainberg,"A young woman, recently released from a mental hospital, gets a job as a secretary to a demanding lawyer, where their employer-employee relationship turns into a sexual, sadomasochistic one."
Mystic River,Thriller Crime Drama Mystery,Sean Penn Tim Robbins Kevin Bacon,Clint Eastwood,The lives of three men who were childhood friends are shattered when one of them suffers a family tragedy.
Striking Distance,Crime Action Mystery Thriller,Bruce Willis Sarah Jessica Parker Dennis Farina,Rowdy Herrington,"Coming from a police family, Tom Hardy ends up fighting his uncle after the murder of his father. Tom believes the killer is another cop, and goes on the record with his allegations. Demoted to water-way duty Tom, along with new partner Jo Christman, navigate the three rivers looking for clues and discovering bodies. This time the victims are women Tom knows, he must find the killer to prove his innocence."
The Others,Horror Mystery Thriller,Nicole Kidman Alakina Mann James Bentley,Alejandro Amenábar,"Grace is a religious woman who lives in an old house kept dark because her two children, Anne and Nicholas, have a rare sensitivity to light. When the family begins to suspect the house is haunted, Grace fights to protect her children at any cost in the face of strange events and disturbing visions."
Jumanji: The Next Level,Adventure Comedy Fantasy,Dwayne Johnson Kevin Hart Jack Black,Jake Kasdan,"As the gang return to Jumanji to rescue one of their own, they discover that nothing is as they expect. The players will have to brave parts unknown and unexplored in order to escape the world’s most dangerous game."
Rampage,Action Adventure Science Fiction,Dwayne Johnson Naomie Harris Malin Åkerman,Brad Peyton,"Primatologist Davis Okoye shares an unshakable bond with George, the extraordinarily intelligent, silverback gorilla who has been in his care since birth.  But a rogue genetic experiment gone awry mutates this gentle ape into a raging creature of enormous size.  To make matters worse, it’s soon discovered there are other similarly altered animals.  As these newly created alpha predators tear across North America, destroying everything in their path, Okoye teams with a discredited genetic engineer to secure an antidote, fighting his way through an ever-changing battlefield, not only to halt a global catastrophe but to save the fearsome creature that was once his friend."
